id,text,true_label,predicted_binary_label,error_type,prob_valid,prob_hoax,confidence,served_label,abstained,text_source,evidence_source,evidence_url,topic,text_length
turnbackhoax-36648,Tautan Pendaftaran Lowongan Kerja Puskesmas,hoax,hoax,correct,0.009018497542,0.990981519222,0.990981519222,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36648-penipuan-tautan-pendaftaran-lowongan-kerja-puskesmas,lainnya,43
turnbackhoax-36649,Tautan Pendaftaran Tunjangan Lansia 2026,hoax,hoax,correct,0.006311164238,0.993688821793,0.993688821793,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36649-penipuan-tautan-pendaftaran-tunjangan-lansia-2026,lainnya,40
turnbackhoax-36654,Tautan Pendaftaran Bansos Digital,hoax,hoax,correct,0.005049858708,0.994950175285,0.994950175285,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36654-penipuan-tautan-pendaftaran-bansos-digital,bantuan_sosial,33
turnbackhoax-36655,"Dokumentasi “Malaysia Kirim Pesawat, Padamkan Karhutla Sumatra 2026”",hoax,hoax,correct,0.012574868277,0.987425148487,0.987425148487,meragukan,1,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36655-salah-dokumentasi-malaysia-kirim-pesawat-padamkan-karhutla-sumatra-2026,bencana_cuaca,68
turnbackhoax-36672,Lowongan Kerja Cosmos Indonesia,hoax,hoax,correct,0.041993699968,0.958006322384,0.958006322384,meragukan,1,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36672-penipuan-lowongan-kerja-cosmos-indonesia,lainnya,31
turnbackhoax-36680,Kota Malang Sepakat Hentikan MBG,hoax,hoax,correct,0.043753858656,0.956246137619,0.956246137619,meragukan,1,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36680-salah-kota-malang-sepakat-hentikan-mbg,lainnya,32
turnbackhoax-36681,Gibran Sebut Tidak Tahu Kasus Keracunan MBG,hoax,hoax,correct,0.001351414248,0.998648583889,0.998648583889,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36681-salah-gibran-sebut-tidak-tahu-kasus-keracunan-mbg,lainnya,43
turnbackhoax-36682,Toko Harian Dipaksa Tutup karena Dekat dengan Kopdes,hoax,hoax,correct,0.003428052645,0.996571898460,0.996571898460,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36682-salah-toko-harian-dipaksa-tutup-karena-dekat-dengan-kopdes,lainnya,52
turnbackhoax-36520,Bayi di Jepara Meninggal Usai Imunisasi DPT,hoax,hoax,correct,0.003649678081,0.996350288391,0.996350288391,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36520-salah-bayi-di-jepara-meninggal-usai-imunisasi-dpt,teknologi,43
turnbackhoax-36701,Tautan Lowongan Kerja Elabram Systems,hoax,hoax,correct,0.017220992595,0.982779085636,0.982779085636,meragukan,1,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36701-penipuan-tautan-lowongan-kerja-elabram-systems,lainnya,37
turnbackhoax-36706,"Pembangunan IKN Dihentikan Sementara, Dana Dialihkan ke MBG dan Kopdes",hoax,hoax,correct,0.008380943909,0.991618990898,0.991618990898,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36706-salah-pembangunan-ikn-dihentikan-sementara-dana-dialihkan-ke-mbg-dan-kopdes,lainnya,70
turnbackhoax-36590,Erupsi Gunung di Indonesia Berkaitan dengan HAARP,hoax,hoax,correct,0.043586447835,0.956413567066,0.956413567066,meragukan,1,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36590-salah-erupsi-gunung-di-indonesia-berkaitan-dengan-haarp,bencana_cuaca,49
turnbackhoax-36729,Malaysia Laporkan Indonesia ke PBB soal Karhutla,hoax,hoax,correct,0.002462913515,0.997537136078,0.997537136078,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36729-salah-malaysia-laporkan-indonesia-ke-pbb-soal-karhutla,bencana_cuaca,48
turnbackhoax-36730,Ojol Dilarang Beli Pertalite,hoax,hoax,correct,0.015170636587,0.984829366207,0.984829366207,meragukan,1,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36730-salah-ojol-dilarang-beli-pertalite,lainnya,28
turnbackhoax-36731,Tautan Pendaftaran Cek Kesehatan Gratis,hoax,hoax,correct,0.009012031369,0.990987956524,0.990987956524,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36731-penipuan-tautan-pendaftaran-cek-kesehatan-gratis,kesehatan,39
turnbackhoax-36737,Tautan Pendaftaran Program Bantuan Lansia,hoax,hoax,correct,0.006051206496,0.993948817253,0.993948817253,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36737-penipuan-tautan-pendaftaran-program-bantuan-lansia,bantuan_sosial,41
turnbackhoax-36738,Ada Kebijakan Razia Kendaraan dari Rumah ke Rumah,hoax,hoax,correct,0.003415283514,0.996584653854,0.996584653854,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36738-salah-ada-kebijakan-razia-kendaraan-dari-rumah-ke-rumah,keamanan,49
turnbackhoax-36774,Foto Rekrutmen Pegawai Koperasi Merah Putih,hoax,hoax,correct,0.002779426053,0.997220635414,0.997220635414,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36774-penipuan-foto-rekrutmen-pegawai-koperasi-merah-putih,teknologi,43
turnbackhoax-36596,World Bank: Indonesia Negara Berkembang Termiskin di Dunia Tahun 2026,hoax,hoax,correct,0.033009011298,0.966990947723,0.966990947723,meragukan,1,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36596-salah-world-bank-indonesia-negara-berkembang-termiskin-di-dunia-tahun-2026,ekonomi,69
turnbackhoax-36776,Kontak “Pendaftaran Dana Bantuan” dari Menkeu Suahasil Nazara,hoax,hoax,correct,0.004806752317,0.995193243027,0.995193243027,hoax,0,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36776-penipuan-kontak-pendaftaran-dana-bantuan-dari-menkeu-suahasil-nazara,bantuan_sosial,61
cekfakta-36763,Megawati Sebut Dedi Mulyadi Belum Siap Jadi Presiden,hoax,hoax,correct,0.002522679046,0.997477352619,0.997477352619,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36763,politik,52
cekfakta-36700,"Dokumentasi ""Aksi Pembakaran Gudang MBG di NTB""",hoax,hoax,correct,0.030585331842,0.969414710999,0.969414710999,meragukan,1,claim,CekFakta,https://cekfakta.com/focus/36700,teknologi,47
cekfakta-36702,Polri Bakal Razia Pajak Kendaraan ke Rumah Warga Mulai September 2026,hoax,hoax,correct,0.001577859977,0.998422145844,0.998422145844,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36702,teknologi,69
cekfakta-36707,Link Pendaftaran Undian Berhadiah Bank BRI,hoax,hoax,correct,0.002957373857,0.997042596340,0.997042596340,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36707,ekonomi,42
cekfakta-36708,Video Ustaz Abdul Somad Bicara Bantuan Dana Hibah Arab Saudi,hoax,hoax,correct,0.000218257876,0.999781787395,0.999781787395,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36708,bantuan_sosial,60
cekfakta-36765,Prabowo Minta Guru Rahasiakan Keracunan MBG,hoax,hoax,correct,0.001628519618,0.998371541500,0.998371541500,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36765,lainnya,43
cekfakta-36766,Pigai Sebut Penembakan ASN oleh KKB Tidak Melanggar HAM,hoax,hoax,correct,0.000867139490,0.999132931232,0.999132931232,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36766,teknologi,55
cekfakta-36767,Rekaman Video Tenggelamnya KMP Virgo 8 pada 5 September,hoax,hoax,correct,0.000272427453,0.999727547169,0.999727547169,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36767,lainnya,55
cekfakta-36768,Video Penemuan Jurnalis Hilang saat Liput Anak Krakatau,hoax,hoax,correct,0.000285322283,0.999714672565,0.999714672565,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36768,lainnya,55
cekfakta-36727,"Video ""Laut Merak Kering Imbas Erupsi Gunung Anak Krakatau""",hoax,hoax,correct,0.095834016800,0.904165983200,0.904165983200,meragukan,1,claim,CekFakta,https://cekfakta.com/focus/36727,bencana_cuaca,59
cekfakta-36674,Video Menteri P2MI Umumkan Dana Bantuan untuk Pekerja Migran,hoax,hoax,correct,0.000346935092,0.999653100967,0.999653100967,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36674,politik,60
cekfakta-36734,Link Ini untuk Pendaftaran PKH Ibu Hamil 2026,hoax,hoax,correct,0.004142211284,0.995857775211,0.995857775211,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36734,bantuan_sosial,45
cekfakta-36735,Link Pendaftaran Pendamping Lokal Desa Kemendes 2026,hoax,hoax,correct,0.004545800854,0.995454192162,0.995454192162,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36735,lainnya,52
cekfakta-36769,Link Pendaftaran Penyaluran Bansos Beras 30 Kg 2026,hoax,hoax,correct,0.003136130981,0.996863842010,0.996863842010,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36769,bantuan_sosial,51
cekfakta-36770,Video Toko Disuruh Tutup sebab Dekat Kopdes Merah Putih,hoax,hoax,correct,0.000564591843,0.999435365200,0.999435365200,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36770,lainnya,55
cekfakta-36741,Video Menkeu Suahasil Umumkan Program Dana Hibah,hoax,hoax,correct,0.000368801731,0.999631166458,0.999631166458,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36741,lainnya,48
cekfakta-36771,"Video Dapur SPPG di Lombok Tengah, NTB, Dibakar Warga",hoax,hoax,correct,0.000422143115,0.999577820301,0.999577820301,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36771,lainnya,53
cekfakta-36772,Mengonsumsi Undur-Undur Dapat Menyembuhkan Diabetes,hoax,hoax,correct,0.014569380321,0.985430598259,0.985430598259,meragukan,1,claim,CekFakta,https://cekfakta.com/focus/36772,lainnya,51
cekfakta-36773,Artikel Menkeu Suahasil Terlibat Korupsi Rp500 Triliun,hoax,hoax,correct,0.001987409079,0.998012542725,0.998012542725,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36773,politik,54
cekfakta-36777,Artikel Nusron Wahid Sebut Jokowi Terima Uang Suap 700 Miliar,hoax,hoax,correct,0.000932698254,0.999067366123,0.999067366123,hoax,0,claim,CekFakta,https://cekfakta.com/focus/36777,lainnya,61
afp-C3JA6TA,"LGBT Agenda Elite Global,",hoax,hoax,correct,0.061621788889,0.938378274441,0.938378274441,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C3JA6TA,kesehatan,25
afp-C3N92ZQ,"Pajak sepeda bakal dipungut, Kemenhub buka wacana untuk bayar pajak.",hoax,hoax,correct,0.002106211614,0.997893869877,0.997893869877,hoax,0,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C3N92ZQ,teknologi,68
afp-C43B9ZV,"Mulai 2027 Pengguna HP akan dikenakan pajak! Ini kata Bahlil Lahadalia,",hoax,hoax,correct,0.009103819728,0.990896165371,0.990896165371,hoax,0,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C43B9ZV,teknologi,71
afp-C43D2T4,"Indonesia Meluncurkan Prototipe Vaksin DBD Berbasis Teknologi MRNA yg akan dikontrol A.I (Artificial Intelligence) dan akan merubah DNA ILAHI Hilang Dari Fitrah-NYA serta terputusnya signal spirituality ke Sang Pencipta,",hoax,hoax,correct,0.011794626713,0.988205432892,0.988205432892,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C43D2T4,kesehatan,220
afp-C4AR4CR,"Pemerintah berharap warung per toko di pedesaan ditutup, supaya masyarakat desa belanja di koperasi desa,",hoax,hoax,correct,0.110763601959,0.889236390591,0.889236390591,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C4AR4CR,politik,105
afp-C46U463,"Sebuah video viral memperlihatkan seorang migran asal Maroko merekam dirinya sendiri menggunakan tongkat selfie saat berenang menuju Ceuta, wilayah kantong Spanyol di Afrika Utara,",hoax,hoax,correct,0.000070997194,0.999928951263,0.999928951263,hoax,0,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C46U463,teknologi,180
afp-C4YU8NR,"Aksi massa di Sudirman memanas, barikade polisi dijebol di sekitar Tosari,",hoax,hoax,correct,0.044876880944,0.955123186111,0.955123186111,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C4YU8NR,bencana_cuaca,74
afp-C63B8NR,"HIV WAJIB ada & ditakuti untuk pasar obat ARV seumur hidup. LGBT dipelihara & diperbanyak untuk pasar obat ARV,",hoax,valid,false_negative,0.790984332561,0.209015637636,0.790984332561,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C63B8NR,kesehatan,111
afp-C67B39E,"Tsunami terjang Labuhan Bajo!!! Detik-detik tsunami sempat terjang Labuan Bajo usai Gempa M7,7,",hoax,valid,false_negative,0.837511718273,0.162488237023,0.837511718273,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C67B39E,bencana_cuaca,95
afp-C67T6KE,"Tahukah kamu? Begini cara paus biru menyusui anaknya di bawah laut,",hoax,hoax,correct,0.006907343864,0.993092656136,0.993092656136,hoax,0,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C67T6KE,teknologi,67
afp-C6L8869,Kanker serviks itu biasanya diderita oleh perempuan ketika umurnya lebih dari 50 tahun. Ngapain diberikan pada umur 12 tahun?,hoax,hoax,correct,0.072566293180,0.927433669567,0.927433669567,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C6L8869,kesehatan,125
afp-C6YK89E,"Asap Membungkam Suara Rimba, Salah satu satwa langkah Kalimantan harus di evakuasi,",hoax,hoax,correct,0.063785836101,0.936214148998,0.936214148998,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C6YK89E,bencana_cuaca,83
afp-C7868T3,"Sudah mulai berdatangan dari Pati, Senayan diprediksi akan penuh menjelang massa aksi,",hoax,valid,false_negative,0.579961657524,0.420038372278,0.579961657524,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7868T3,teknologi,86
afp-C7DR9ZT,"Ternyata oh ternyata, Bendungannya di bom,",hoax,hoax,correct,0.433574140072,0.566425859928,0.566425859928,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7DR9ZT,bencana_cuaca,42
afp-C7HH4KE,"Tanggal 27 Agustus. Demo besar-besaran di DPR RI. Doa kami selalu menyertai kalian, demi bangsa dan tanah air,",hoax,valid,false_negative,0.867497920990,0.132502049208,0.867497920990,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7HH4KE,politik,110
afp-C7E489E,"Ngeri! Longsor hebat picu banjir bandang di Nepal, ratusan WNA dilaporkan hilang,",hoax,hoax,correct,0.027012340724,0.972987651825,0.972987651825,meragukan,1,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7E489E,bencana_cuaca,81
